============================================================
[repair-train 1/5] old_shard=9 task=task_elections model=Qwen/Qwen3-32B
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_rft.json (3006 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/Qwen/Qwen3-32B/train_tfb.json (6012 rows)
[train] epoch=0 step=66/94 loss=0.2011 lr=6.06e-05 elapsed=253.6s
[train] epoch=0 step=67/94 loss=0.1774 lr=5.81e-05 elapsed=256.9s
[train] epoch=0 step=68/94 loss=0.1699 lr=5.56e-05 elapsed=259.9s
[train] epoch=0 step=69/94 loss=0.1766 lr=5.32e-05 elapsed=263.4s
[train] epoch=0 step=70/94 loss=0.1929 lr=5.09e-05 elapsed=266.4s
[train] epoch=0 step=71/94 loss=0.2015 lr=4.86e-05 elapsed=269.7s
[train] epoch=0 step=72/94 loss=0.2058 lr=4.64e-05 elapsed=274.0s
[train] epoch=0 step=73/94 loss=0.1816 lr=4.42e-05 elapsed=277.5s
[train] epoch=0 step=74/94 loss=0.1311 lr=4.22e-05 elapsed=280.6s
[train] epoch=0 step=75/94 loss=0.1945 lr=4.02e-05 elapsed=284.1s
[train] epoch=0 step=76/94 loss=0.1863 lr=3.83e-05 elapsed=287.3s
[train] epoch=0 step=77/94 loss=0.1823 lr=3.65e-05 elapsed=290.2s
[train] epoch=0 step=78/94 loss=0.1470 lr=3.47e-05 elapsed=293.3s
[train] epoch=0 step=79/94 loss=0.1614 lr=3.31e-05 elapsed=296.1s
[train] epoch=0 step=80/94 loss=0.1966 lr=3.16e-05 elapsed=299.4s
[train] epoch=0 step=81/94 loss=0.1749 lr=3.01e-05 elapsed=303.7s
[train] epoch=0 step=82/94 loss=0.1597 lr=2.87e-05 elapsed=307.9s
[train] epoch=0 step=83/94 loss=0.1674 lr=2.75e-05 elapsed=311.1s
[train] epoch=0 step=84/94 loss=0.1391 lr=2.63e-05 elapsed=314.1s
[train] epoch=0 step=85/94 loss=0.1712 lr=2.52e-05 elapsed=317.3s
[train] epoch=0 step=86/94 loss=0.1473 lr=2.42e-05 elapsed=320.3s
[train] epoch=0 step=87/94 loss=0.1735 lr=2.33e-05 elapsed=323.4s
[train] epoch=0 step=88/94 loss=0.1632 lr=2.26e-05 elapsed=326.3s
[train] epoch=0 step=89/94 loss=0.1712 lr=2.19e-05 elapsed=329.8s
[train] epoch=0 step=90/94 loss=0.1522 lr=2.13e-05 elapsed=334.4s
[train] epoch=0 step=91/94 loss=0.1635 lr=2.08e-05 elapsed=337.7s
[train] epoch=0 step=92/94 loss=0.1607 lr=2.05e-05 elapsed=340.8s
[train] epoch=0 step=93/94 loss=0.1584 lr=2.02e-05 elapsed=343.9s
[train] epoch=0 step=94/94 loss=0.1822 lr=2.01e-05 elapsed=347.4s
[train] final checkpoint -> tinker://78c362bc-5436-5349-984e-0eda9ad247f0:train:0/sampler_weights/sft__task_elections__Qwen__Qwen3-32B__rft__final
[train] saved state -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_elections/Qwen/Qwen3-32B/rft/state.json
[train] task=task_elections model=Qwen/Qwen3-32B method=tfb -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_elections/Qwen/Qwen3-32B/tfb/state.json
[train] encoding 6012 examples ...
[train] kept 6012/6012 examples after encoding
[train] 6012 datums, batch_size=32, total_steps=188
[train] epoch=0 step=1/188 loss=0.5721 lr=4.00e-05 elapsed=3.8s
[train] epoch=0 step=2/188 loss=0.5112 lr=8.00e-05 elapsed=6.8s
[train] epoch=0 step=3/188 loss=0.6521 lr=1.20e-04 elapsed=10.4s
