============================================================
[repair-train 2/5] old_shard=12 task=task_elections model=openai/gpt-oss-20b
  MAX_CONC=32 BATCH_SIZE=32
============================================================
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/openai/gpt-oss-20b/train_rft.json (3021 rows)
[build_train_data] wrote /scratch/users/batuel/documents/molochs-bargain/new_experiments/data/task_elections/openai/gpt-oss-20b/train_tfb.json (6042 rows)
[train] epoch=0 step=67/95 loss=0.5102 lr=5.98e-05 elapsed=214.6s
[train] epoch=0 step=68/95 loss=0.5117 lr=5.73e-05 elapsed=217.8s
[train] epoch=0 step=69/95 loss=0.4922 lr=5.49e-05 elapsed=221.1s
[train] epoch=0 step=70/95 loss=0.4550 lr=5.25e-05 elapsed=224.6s
[train] epoch=0 step=71/95 loss=0.5077 lr=5.02e-05 elapsed=227.4s
[train] epoch=0 step=72/95 loss=0.5115 lr=4.80e-05 elapsed=230.7s
[train] epoch=0 step=73/95 loss=0.4752 lr=4.58e-05 elapsed=234.7s
[train] epoch=0 step=74/95 loss=0.4759 lr=4.37e-05 elapsed=238.0s
[train] epoch=0 step=75/95 loss=0.5186 lr=4.17e-05 elapsed=241.5s
[train] epoch=0 step=76/95 loss=0.4780 lr=3.98e-05 elapsed=244.6s
[train] epoch=0 step=77/95 loss=0.4557 lr=3.79e-05 elapsed=248.0s
[train] epoch=0 step=78/95 loss=0.4898 lr=3.61e-05 elapsed=251.4s
[train] epoch=0 step=79/95 loss=0.5030 lr=3.44e-05 elapsed=254.8s
[train] epoch=0 step=80/95 loss=0.4979 lr=3.28e-05 elapsed=258.2s
[train] epoch=0 step=81/95 loss=0.4709 lr=3.13e-05 elapsed=262.7s
[train] epoch=0 step=82/95 loss=0.4876 lr=2.99e-05 elapsed=265.7s
[train] epoch=0 step=83/95 loss=0.4830 lr=2.85e-05 elapsed=269.2s
[train] epoch=0 step=84/95 loss=0.4560 lr=2.73e-05 elapsed=273.7s
[train] epoch=0 step=85/95 loss=0.4718 lr=2.61e-05 elapsed=277.2s
[train] epoch=0 step=86/95 loss=0.4700 lr=2.51e-05 elapsed=280.1s
[train] epoch=0 step=87/95 loss=0.4947 lr=2.41e-05 elapsed=283.3s
[train] epoch=0 step=88/95 loss=0.4666 lr=2.33e-05 elapsed=286.6s
[train] epoch=0 step=89/95 loss=0.4943 lr=2.25e-05 elapsed=290.1s
[train] epoch=0 step=90/95 loss=0.4715 lr=2.18e-05 elapsed=293.8s
[train] epoch=0 step=91/95 loss=0.4626 lr=2.13e-05 elapsed=297.4s
[train] epoch=0 step=92/95 loss=0.4841 lr=2.08e-05 elapsed=300.4s
[train] epoch=0 step=93/95 loss=0.4746 lr=2.05e-05 elapsed=303.5s
[train] epoch=0 step=94/95 loss=0.4885 lr=2.02e-05 elapsed=307.3s
[train] epoch=0 step=95/95 loss=0.4866 lr=2.01e-05 elapsed=310.2s
[train] final checkpoint -> tinker://f1f9b2bc-24b2-5bc1-b25d-ddf559e30181:train:0/sampler_weights/sft__task_elections__openai__gpt-oss-20b__rft__final
[train] saved state -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_elections/openai/gpt-oss-20b/rft/state.json
[train] task=task_elections model=openai/gpt-oss-20b method=tfb -> /scratch/users/batuel/documents/molochs-bargain/new_experiments/models/task_elections/openai/gpt-oss-20b/tfb/state.json
[train] encoding 6042 examples ...
[train] kept 6042/6042 examples after encoding
[train] 6042 datums, batch_size=32, total_steps=189
[train] epoch=0 step=1/189 loss=0.8696 lr=4.00e-05 elapsed=3.7s
[train] epoch=0 step=2/189 loss=0.9892 lr=8.00e-05 elapsed=6.3s
[train] epoch=0 step=3/189 loss=0.9046 lr=1.20e-04 elapsed=9.7s
[train] epoch=0 step=4/189 loss=0.8612 lr=1.60e-04 elapsed=14.2s
[train] epoch=0 step=5/189 loss=0.8831 lr=2.00e-04 elapsed=16.8s
[train] epoch=0 step=6/189 loss=0.7990 lr=2.00e-04 elapsed=19.6s
[train] epoch=0 step=7/189 loss=0.7645 lr=2.00e-04 elapsed=33.0s
[train] epoch=0 step=8/189 loss=0.6962 lr=2.00e-04 elapsed=35.4s
[train] epoch=0 step=9/189 loss=0.7926 lr=2.00e-04 elapsed=37.8s
[train] epoch=0 step=10/189 loss=0.7475 lr=2.00e-04 elapsed=40.2s
[train] epoch=0 step=11/189 loss=0.6481 lr=2.00e-04 elapsed=43.8s
[train] epoch=0 step=12/189 loss=0.7417 lr=2.00e-04 elapsed=46.6s
[train] epoch=0 step=13/189 loss=0.6461 lr=1.99e-04 elapsed=49.1s
[train] epoch=0 step=14/189 loss=0.6654 lr=1.99e-04 elapsed=51.8s
[train] epoch=0 step=15/189 loss=0.5954 lr=1.99e-04 elapsed=55.7s
[train] epoch=0 step=16/189 loss=0.7020 lr=1.99e-04 elapsed=59.1s
[train] epoch=0 step=17/189 loss=0.5929 lr=1.98e-04 elapsed=62.6s
[train] epoch=0 step=18/189 loss=0.6607 lr=1.98e-04 elapsed=65.8s
[train] epoch=0 step=19/189 loss=0.6869 lr=1.98e-04 elapsed=69.1s
[train] epoch=0 step=20/189 loss=0.6327 lr=1.97e-04 elapsed=74.1s
